,,deriv,in_param,out_param,timestep,trajectory
100044,100044,0.0,dinv_z,qi,100044.0,1.0
100045,100045,0.0,dinv_z,qi,100045.0,1.0
100046,100046,0.0,dinv_z,qi,100046.0,1.0
100047,100047,0.0,dinv_z,qi,100047.0,1.0
100048,100048,0.0,dinv_z,qi,100048.0,1.0
100049,100049,0.0,dinv_z,qi,100049.0,1.0
100050,100050,0.0,dinv_z,qi,100050.0,1.0
100051,100051,0.0,dinv_z,qi,100051.0,1.0
100052,100052,0.0,dinv_z,qi,100052.0,1.0
100053,100053,0.0,dinv_z,qi,100053.0,1.0
100054,100054,0.0,dinv_z,qi,100054.0,1.0
100055,100055,0.0,dinv_z,qi,100055.0,1.0
100056,100056,0.0,dinv_z,qi,100056.0,1.0
100057,100057,0.0,dinv_z,qi,100057.0,1.0
100058,100058,0.0,dinv_z,qi,100058.0,1.0
100059,100059,0.0,dinv_z,qi,100059.0,1.0
100060,100060,0.0,dinv_z,qi,100060.0,1.0
100061,100061,0.0,dinv_z,qi,100061.0,1.0
100062,100062,0.0,dinv_z,qi,100062.0,1.0
100063,100063,0.0,dinv_z,qi,100063.0,1.0
100064,100064,0.0,dinv_z,qi,100064.0,1.0
100065,100065,0.0,dinv_z,qi,100065.0,1.0
100066,100066,0.0,dinv_z,qi,100066.0,1.0
100067,100067,0.0,dinv_z,qi,100067.0,1.0
100068,100068,0.0,dinv_z,qi,100068.0,1.0
100069,100069,0.0,dinv_z,qi,100069.0,1.0
100070,100070,0.0,dinv_z,qi,100070.0,1.0
100071,100071,0.0,dinv_z,qi,100071.0,1.0
100072,100072,0.0,dinv_z,qi,100072.0,1.0
100073,100073,0.0,dinv_z,qi,100073.0,1.0
100074,100074,0.0,dinv_z,qi,100074.0,1.0
100075,100075,0.0,dinv_z,qi,100075.0,1.0
100076,100076,0.0,dinv_z,qi,100076.0,1.0
100077,100077,0.0,dinv_z,qi,100077.0,1.0
100078,100078,0.0,dinv_z,qi,100078.0,1.0
100079,100079,0.0,dinv_z,qi,100079.0,1.0
100080,100080,0.0,dinv_z,qi,100080.0,1.0
100081,100081,0.0,dinv_z,qi,100081.0,1.0
100082,100082,0.0,dinv_z,qi,100082.0,1.0
100083,100083,0.0,dinv_z,qi,100083.0,1.0
100084,100084,0.0,dinv_z,qi,100084.0,1.0
100085,100085,0.0,dinv_z,qi,100085.0,1.0
100086,100086,0.0,dinv_z,qi,100086.0,1.0
100087,100087,0.0,dinv_z,qi,100087.0,1.0
100088,100088,0.0,dinv_z,qi,100088.0,1.0
100089,100089,0.0,dinv_z,qi,100089.0,1.0
100090,100090,0.0,dinv_z,qi,100090.0,1.0
100091,100091,0.0,dinv_z,qi,100091.0,1.0
100092,100092,0.0,dinv_z,qi,100092.0,1.0
100093,100093,0.0,dinv_z,qi,100093.0,1.0
100094,100094,0.0,dinv_z,qi,100094.0,1.0
100095,100095,0.0,dinv_z,qi,100095.0,1.0
100096,100096,0.0,dinv_z,qi,100096.0,1.0
100097,100097,0.0,dinv_z,qi,100097.0,1.0
100098,100098,0.0,dinv_z,qi,100098.0,1.0
100099,100099,0.0,dinv_z,qi,100099.0,1.0
100100,100100,0.0,dinv_z,qi,100100.0,1.0
100101,100101,0.0,dinv_z,qi,100101.0,1.0
100102,100102,0.0,dinv_z,qi,100102.0,1.0
100103,100103,0.0,dinv_z,qi,100103.0,1.0
100104,100104,0.0,dinv_z,qi,100104.0,1.0
100105,100105,0.0,dinv_z,qi,100105.0,1.0
100106,100106,0.0,dinv_z,qi,100106.0,1.0
100107,100107,0.0,dinv_z,qi,100107.0,1.0
100108,100108,0.0,dinv_z,qi,100108.0,1.0
100109,100109,0.0,dinv_z,qi,100109.0,1.0
100110,100110,0.0,dinv_z,qi,100110.0,1.0
100111,100111,0.0,dinv_z,qi,100111.0,1.0
100112,100112,0.0,dinv_z,qi,100112.0,1.0
100113,100113,0.0,dinv_z,qi,100113.0,1.0
100114,100114,0.0,dinv_z,qi,100114.0,1.0
100115,100115,0.0,dinv_z,qi,100115.0,1.0
100116,100116,0.0,dinv_z,qi,100116.0,1.0
100117,100117,0.0,dinv_z,qi,100117.0,1.0
100118,100118,0.0,dinv_z,qi,100118.0,1.0
100119,100119,0.0,dinv_z,qi,100119.0,1.0
100120,100120,0.0,dinv_z,qi,100120.0,1.0
100121,100121,0.0,dinv_z,qi,100121.0,1.0
100122,100122,0.0,dinv_z,qi,100122.0,1.0
100123,100123,0.0,dinv_z,qi,100123.0,1.0
100124,100124,0.0,dinv_z,qi,100124.0,1.0
100125,100125,0.0,dinv_z,qi,100125.0,1.0
100126,100126,0.0,dinv_z,qi,100126.0,1.0
100127,100127,0.0,dinv_z,qi,100127.0,1.0
100128,100128,0.0,dinv_z,qi,100128.0,1.0
100129,100129,0.0,dinv_z,qi,100129.0,1.0
100130,100130,0.0,dinv_z,qi,100130.0,1.0
100131,100131,0.0,dinv_z,qi,100131.0,1.0
100132,100132,0.0,dinv_z,qi,100132.0,1.0
100133,100133,0.0,dinv_z,qi,100133.0,1.0
100134,100134,0.0,dinv_z,qi,100134.0,1.0
100135,100135,0.0,dinv_z,qi,100135.0,1.0
100136,100136,0.0,dinv_z,qi,100136.0,1.0
100137,100137,0.0,dinv_z,qi,100137.0,1.0
100138,100138,0.0,dinv_z,qi,100138.0,1.0
100139,100139,0.0,dinv_z,qi,100139.0,1.0
100140,100140,0.0,dinv_z,qi,100140.0,1.0
100141,100141,0.0,dinv_z,qi,100141.0,1.0
100142,100142,0.0,dinv_z,qi,100142.0,1.0
100143,100143,0.0,dinv_z,qi,100143.0,1.0
100144,100144,0.0,dinv_z,qi,100144.0,1.0
100145,100145,0.0,dinv_z,qi,100145.0,1.0
100146,100146,0.0,dinv_z,qi,100146.0,1.0
100147,100147,0.0,dinv_z,qi,100147.0,1.0
100148,100148,0.0,dinv_z,qi,100148.0,1.0
100149,100149,0.0,dinv_z,qi,100149.0,1.0
100150,100150,0.0,dinv_z,qi,100150.0,1.0
100151,100151,0.0,dinv_z,qi,100151.0,1.0
100152,100152,0.0,dinv_z,qi,100152.0,1.0
100153,100153,0.0,dinv_z,qi,100153.0,1.0
100154,100154,0.0,dinv_z,qi,100154.0,1.0
100155,100155,0.0,dinv_z,qi,100155.0,1.0
100156,100156,0.0,dinv_z,qi,100156.0,1.0
100157,100157,0.0,dinv_z,qi,100157.0,1.0
100158,100158,0.0,dinv_z,qi,100158.0,1.0
100159,100159,0.0,dinv_z,qi,100159.0,1.0
100160,100160,0.0,dinv_z,qi,100160.0,1.0
100161,100161,0.0,dinv_z,qi,100161.0,1.0
100162,100162,0.0,dinv_z,qi,100162.0,1.0
100163,100163,0.0,dinv_z,qi,100163.0,1.0
100164,100164,0.0,dinv_z,qi,100164.0,1.0
100165,100165,0.0,dinv_z,qi,100165.0,1.0
100166,100166,0.0,dinv_z,qi,100166.0,1.0
100167,100167,0.0,dinv_z,qi,100167.0,1.0
100168,100168,0.0,dinv_z,qi,100168.0,1.0
100169,100169,0.0,dinv_z,qi,100169.0,1.0
100170,100170,0.0,dinv_z,qi,100170.0,1.0
100171,100171,0.0,dinv_z,qi,100171.0,1.0
100172,100172,0.0,dinv_z,qi,100172.0,1.0
100173,100173,0.0,dinv_z,qi,100173.0,1.0
100174,100174,0.0,dinv_z,qi,100174.0,1.0
100175,100175,0.0,dinv_z,qi,100175.0,1.0
100176,100176,0.0,dinv_z,qi,100176.0,1.0
100177,100177,0.0,dinv_z,qi,100177.0,1.0
100178,100178,0.0,dinv_z,qi,100178.0,1.0
100179,100179,0.0,dinv_z,qi,100179.0,1.0
100180,100180,0.0,dinv_z,qi,100180.0,1.0
100181,100181,0.0,dinv_z,qi,100181.0,1.0
100182,100182,0.0,dinv_z,qi,100182.0,1.0
100183,100183,0.0,dinv_z,qi,100183.0,1.0
100184,100184,0.0,dinv_z,qi,100184.0,1.0
100185,100185,0.0,dinv_z,qi,100185.0,1.0
100186,100186,0.0,dinv_z,qi,100186.0,1.0
100187,100187,0.0,dinv_z,qi,100187.0,1.0
100188,100188,0.0,dinv_z,qi,100188.0,1.0
100189,100189,0.0,dinv_z,qi,100189.0,1.0
100190,100190,0.0,dinv_z,qi,100190.0,1.0
100191,100191,0.0,dinv_z,qi,100191.0,1.0
100192,100192,0.0,dinv_z,qi,100192.0,1.0
100193,100193,0.0,dinv_z,qi,100193.0,1.0
100194,100194,0.0,dinv_z,qi,100194.0,1.0
100195,100195,0.0,dinv_z,qi,100195.0,1.0
100196,100196,0.0,dinv_z,qi,100196.0,1.0
100197,100197,0.0,dinv_z,qi,100197.0,1.0
100198,100198,0.0,dinv_z,qi,100198.0,1.0
100199,100199,0.0,dinv_z,qi,100199.0,1.0
100200,100200,0.0,dinv_z,qi,100200.0,1.0
100201,100201,0.0,dinv_z,qi,100201.0,1.0
100202,100202,0.0,dinv_z,qi,100202.0,1.0
100203,100203,0.0,dinv_z,qi,100203.0,1.0
100204,100204,0.0,dinv_z,qi,100204.0,1.0
100205,100205,0.0,dinv_z,qi,100205.0,1.0
100206,100206,0.0,dinv_z,qi,100206.0,1.0
100207,100207,0.0,dinv_z,qi,100207.0,1.0
100208,100208,0.0,dinv_z,qi,100208.0,1.0
100209,100209,0.0,dinv_z,qi,100209.0,1.0
100210,100210,0.0,dinv_z,qi,100210.0,1.0
100211,100211,0.0,dinv_z,qi,100211.0,1.0
100212,100212,0.0,dinv_z,qi,100212.0,1.0
100213,100213,0.0,dinv_z,qi,100213.0,1.0
100214,100214,0.0,dinv_z,qi,100214.0,1.0
100215,100215,0.0,dinv_z,qi,100215.0,1.0
100216,100216,0.0,dinv_z,qi,100216.0,1.0
100217,100217,0.0,dinv_z,qi,100217.0,1.0
100218,100218,0.0,dinv_z,qi,100218.0,1.0
100219,100219,0.0,dinv_z,qi,100219.0,1.0
100220,100220,0.0,dinv_z,qi,100220.0,1.0
100221,100221,0.0,dinv_z,qi,100221.0,1.0
100222,100222,0.0,dinv_z,qi,100222.0,1.0
100223,100223,0.0,dinv_z,qi,100223.0,1.0
100224,100224,0.0,dinv_z,qi,100224.0,1.0
100225,100225,0.0,dinv_z,qi,100225.0,1.0
100226,100226,0.0,dinv_z,qi,100226.0,1.0
100227,100227,0.0,dinv_z,qi,100227.0,1.0
100228,100228,0.0,dinv_z,qi,100228.0,1.0
100229,100229,0.0,dinv_z,qi,100229.0,1.0
100230,100230,0.0,dinv_z,qi,100230.0,1.0
100231,100231,0.0,dinv_z,qi,100231.0,1.0
100232,100232,0.0,dinv_z,qi,100232.0,1.0
100233,100233,0.0,dinv_z,qi,100233.0,1.0
100234,100234,0.0,dinv_z,qi,100234.0,1.0
100235,100235,0.0,dinv_z,qi,100235.0,1.0
100236,100236,0.0,dinv_z,qi,100236.0,1.0
100237,100237,0.0,dinv_z,qi,100237.0,1.0
100238,100238,0.0,dinv_z,qi,100238.0,1.0
100239,100239,0.0,dinv_z,qi,100239.0,1.0
100240,100240,0.0,dinv_z,qi,100240.0,1.0
100241,100241,0.0,dinv_z,qi,100241.0,1.0
100242,100242,0.0,dinv_z,qi,100242.0,1.0
100243,100243,0.0,dinv_z,qi,100243.0,1.0
100244,100244,0.0,dinv_z,qi,100244.0,1.0
100245,100245,0.0,dinv_z,qi,100245.0,1.0
100246,100246,0.0,dinv_z,qi,100246.0,1.0
100247,100247,0.0,dinv_z,qi,100247.0,1.0
100248,100248,0.0,dinv_z,qi,100248.0,1.0
100249,100249,0.0,dinv_z,qi,100249.0,1.0
100250,100250,0.0,dinv_z,qi,100250.0,1.0
100251,100251,0.0,dinv_z,qi,100251.0,1.0
100252,100252,0.0,dinv_z,qi,100252.0,1.0
100253,100253,0.0,dinv_z,qi,100253.0,1.0
100254,100254,0.0,dinv_z,qi,100254.0,1.0
100255,100255,0.0,dinv_z,qi,100255.0,1.0
100256,100256,0.0,dinv_z,qi,100256.0,1.0
100257,100257,0.0,dinv_z,qi,100257.0,1.0
100258,100258,0.0,dinv_z,qi,100258.0,1.0
100259,100259,0.0,dinv_z,qi,100259.0,1.0
100260,100260,0.0,dinv_z,qi,100260.0,1.0
100261,100261,0.0,dinv_z,qi,100261.0,1.0
100262,100262,0.0,dinv_z,qi,100262.0,1.0
100263,100263,0.0,dinv_z,qi,100263.0,1.0
100264,100264,0.0,dinv_z,qi,100264.0,1.0
100265,100265,0.0,dinv_z,qi,100265.0,1.0
100266,100266,0.0,dinv_z,qi,100266.0,1.0
100267,100267,0.0,dinv_z,qi,100267.0,1.0
100268,100268,0.0,dinv_z,qi,100268.0,1.0
100269,100269,0.0,dinv_z,qi,100269.0,1.0
100270,100270,0.0,dinv_z,qi,100270.0,1.0
100271,100271,0.0,dinv_z,qi,100271.0,1.0
100272,100272,0.0,dinv_z,qi,100272.0,1.0
100273,100273,0.0,dinv_z,qi,100273.0,1.0
100274,100274,0.0,dinv_z,qi,100274.0,1.0
100275,100275,0.0,dinv_z,qi,100275.0,1.0
100276,100276,0.0,dinv_z,qi,100276.0,1.0
100277,100277,0.0,dinv_z,qi,100277.0,1.0
100278,100278,0.0,dinv_z,qi,100278.0,1.0
100279,100279,0.0,dinv_z,qi,100279.0,1.0
100280,100280,0.0,dinv_z,qi,100280.0,1.0
100281,100281,0.0,dinv_z,qi,100281.0,1.0
100282,100282,0.0,dinv_z,qi,100282.0,1.0
100283,100283,0.0,dinv_z,qi,100283.0,1.0
100284,100284,0.0,dinv_z,qi,100284.0,1.0
100285,100285,0.0,dinv_z,qi,100285.0,1.0
100286,100286,0.0,dinv_z,qi,100286.0,1.0
100287,100287,0.0,dinv_z,qi,100287.0,1.0
100288,100288,0.0,dinv_z,qi,100288.0,1.0
100289,100289,0.0,dinv_z,qi,100289.0,1.0
100290,100290,0.0,dinv_z,qi,100290.0,1.0
100291,100291,0.0,dinv_z,qi,100291.0,1.0
100292,100292,0.0,dinv_z,qi,100292.0,1.0
100293,100293,0.0,dinv_z,qi,100293.0,1.0
100294,100294,0.0,dinv_z,qi,100294.0,1.0
100295,100295,0.0,dinv_z,qi,100295.0,1.0
100296,100296,0.0,dinv_z,qi,100296.0,1.0
100297,100297,0.0,dinv_z,qi,100297.0,1.0
100298,100298,0.0,dinv_z,qi,100298.0,1.0
100299,100299,0.0,dinv_z,qi,100299.0,1.0
100300,100300,0.0,dinv_z,qi,100300.0,1.0
100301,100301,0.0,dinv_z,qi,100301.0,1.0
100302,100302,0.0,dinv_z,qi,100302.0,1.0
100303,100303,0.0,dinv_z,qi,100303.0,1.0
100304,100304,0.0,dinv_z,qi,100304.0,1.0
100305,100305,0.0,dinv_z,qi,100305.0,1.0
100306,100306,0.0,dinv_z,qi,100306.0,1.0
100307,100307,0.0,dinv_z,qi,100307.0,1.0
100308,100308,0.0,dinv_z,qi,100308.0,1.0
100309,100309,0.0,dinv_z,qi,100309.0,1.0
100310,100310,0.0,dinv_z,qi,100310.0,1.0
100311,100311,0.0,dinv_z,qi,100311.0,1.0
100312,100312,0.0,dinv_z,qi,100312.0,1.0
100313,100313,0.0,dinv_z,qi,100313.0,1.0
100314,100314,0.0,dinv_z,qi,100314.0,1.0
100315,100315,0.0,dinv_z,qi,100315.0,1.0
100316,100316,0.0,dinv_z,qi,100316.0,1.0
100317,100317,0.0,dinv_z,qi,100317.0,1.0
100318,100318,0.0,dinv_z,qi,100318.0,1.0
100319,100319,0.0,dinv_z,qi,100319.0,1.0
100320,100320,0.0,dinv_z,qi,100320.0,1.0
100321,100321,0.0,dinv_z,qi,100321.0,1.0
100322,100322,0.0,dinv_z,qi,100322.0,1.0
100323,100323,0.0,dinv_z,qi,100323.0,1.0
100324,100324,0.0,dinv_z,qi,100324.0,1.0
100325,100325,0.0,dinv_z,qi,100325.0,1.0
100326,100326,0.0,dinv_z,qi,100326.0,1.0
100327,100327,0.0,dinv_z,qi,100327.0,1.0
100328,100328,0.0,dinv_z,qi,100328.0,1.0
100329,100329,0.0,dinv_z,qi,100329.0,1.0
100330,100330,0.0,dinv_z,qi,100330.0,1.0
100331,100331,0.0,dinv_z,qi,100331.0,1.0
100332,100332,0.0,dinv_z,qi,100332.0,1.0
100333,100333,0.0,dinv_z,qi,100333.0,1.0
100334,100334,0.0,dinv_z,qi,100334.0,1.0
100335,100335,0.0,dinv_z,qi,100335.0,1.0
100336,100336,0.0,dinv_z,qi,100336.0,1.0
100337,100337,0.0,dinv_z,qi,100337.0,1.0
100338,100338,0.0,dinv_z,qi,100338.0,1.0
100339,100339,0.0,dinv_z,qi,100339.0,1.0
100340,100340,0.0,dinv_z,qi,100340.0,1.0
100341,100341,0.0,dinv_z,qi,100341.0,1.0
100342,100342,0.0,dinv_z,qi,100342.0,1.0
100343,100343,0.0,dinv_z,qi,100343.0,1.0
100344,100344,0.0,dinv_z,qi,100344.0,1.0
100345,100345,0.0,dinv_z,qi,100345.0,1.0
100346,100346,0.0,dinv_z,qi,100346.0,1.0
100347,100347,0.0,dinv_z,qi,100347.0,1.0
100348,100348,0.0,dinv_z,qi,100348.0,1.0
100349,100349,0.0,dinv_z,qi,100349.0,1.0
100350,100350,0.0,dinv_z,qi,100350.0,1.0
100351,100351,0.0,dinv_z,qi,100351.0,1.0
100352,100352,0.0,dinv_z,qi,100352.0,1.0
100353,100353,0.0,dinv_z,qi,100353.0,1.0
100354,100354,0.0,dinv_z,qi,100354.0,1.0
100355,100355,0.0,dinv_z,qi,100355.0,1.0
100356,100356,0.0,dinv_z,qi,100356.0,1.0
100357,100357,0.0,dinv_z,qi,100357.0,1.0
100358,100358,0.0,dinv_z,qi,100358.0,1.0
100359,100359,0.0,dinv_z,qi,100359.0,1.0
100360,100360,0.0,dinv_z,qi,100360.0,1.0
100361,100361,0.0,dinv_z,qi,100361.0,1.0
100362,100362,0.0,dinv_z,qi,100362.0,1.0
100363,100363,0.0,dinv_z,qi,100363.0,1.0
100364,100364,0.0,dinv_z,qi,100364.0,1.0
100365,100365,0.0,dinv_z,qi,100365.0,1.0
100366,100366,0.0,dinv_z,qi,100366.0,1.0
100367,100367,0.0,dinv_z,qi,100367.0,1.0
100368,100368,0.0,dinv_z,qi,100368.0,1.0
100369,100369,0.0,dinv_z,qi,100369.0,1.0
100370,100370,0.0,dinv_z,qi,100370.0,1.0
100371,100371,0.0,dinv_z,qi,100371.0,1.0
100372,100372,0.0,dinv_z,qi,100372.0,1.0
100373,100373,0.0,dinv_z,qi,100373.0,1.0
100374,100374,0.0,dinv_z,qi,100374.0,1.0
100375,100375,0.0,dinv_z,qi,100375.0,1.0
100376,100376,0.0,dinv_z,qi,100376.0,1.0
100377,100377,0.0,dinv_z,qi,100377.0,1.0
100378,100378,0.0,dinv_z,qi,100378.0,1.0
100379,100379,0.0,dinv_z,qi,100379.0,1.0
100380,100380,0.0,dinv_z,qi,100380.0,1.0
100381,100381,0.0,dinv_z,qi,100381.0,1.0
100382,100382,0.0,dinv_z,qi,100382.0,1.0
100383,100383,0.0,dinv_z,qi,100383.0,1.0
100384,100384,0.0,dinv_z,qi,100384.0,1.0
100385,100385,0.0,dinv_z,qi,100385.0,1.0
100386,100386,0.0,dinv_z,qi,100386.0,1.0
100387,100387,0.0,dinv_z,qi,100387.0,1.0
100388,100388,0.0,dinv_z,qi,100388.0,1.0
100389,100389,0.0,dinv_z,qi,100389.0,1.0
100390,100390,0.0,dinv_z,qi,100390.0,1.0
100391,100391,0.0,dinv_z,qi,100391.0,1.0
100392,100392,0.0,dinv_z,qi,100392.0,1.0
100393,100393,0.0,dinv_z,qi,100393.0,1.0
100394,100394,0.0,dinv_z,qi,100394.0,1.0
100395,100395,0.0,dinv_z,qi,100395.0,1.0
100396,100396,0.0,dinv_z,qi,100396.0,1.0
100397,100397,0.0,dinv_z,qi,100397.0,1.0
100398,100398,0.0,dinv_z,qi,100398.0,1.0
100399,100399,0.0,dinv_z,qi,100399.0,1.0
100400,100400,0.0,dinv_z,qi,100400.0,1.0
100401,100401,0.0,dinv_z,qi,100401.0,1.0
100402,100402,0.0,dinv_z,qi,100402.0,1.0
100403,100403,0.0,dinv_z,qi,100403.0,1.0
100404,100404,0.0,dinv_z,qi,100404.0,1.0
100405,100405,0.0,dinv_z,qi,100405.0,1.0
100406,100406,0.0,dinv_z,qi,100406.0,1.0
100407,100407,0.0,dinv_z,qi,100407.0,1.0
100408,100408,0.0,dinv_z,qi,100408.0,1.0
100409,100409,0.0,dinv_z,qi,100409.0,1.0
100410,100410,0.0,dinv_z,qi,100410.0,1.0
100411,100411,0.0,dinv_z,qi,100411.0,1.0
100412,100412,0.0,dinv_z,qi,100412.0,1.0
100413,100413,0.0,dinv_z,qi,100413.0,1.0
100414,100414,0.0,dinv_z,qi,100414.0,1.0
100415,100415,0.0,dinv_z,qi,100415.0,1.0
100416,100416,0.0,dinv_z,qi,100416.0,1.0
100417,100417,0.0,dinv_z,qi,100417.0,1.0
100418,100418,0.0,dinv_z,qi,100418.0,1.0
100419,100419,0.0,dinv_z,qi,100419.0,1.0
100420,100420,0.0,dinv_z,qi,100420.0,1.0
100421,100421,0.0,dinv_z,qi,100421.0,1.0
100422,100422,0.0,dinv_z,qi,100422.0,1.0
100423,100423,0.0,dinv_z,qi,100423.0,1.0
100424,100424,0.0,dinv_z,qi,100424.0,1.0
100425,100425,0.0,dinv_z,qi,100425.0,1.0
100426,100426,0.0,dinv_z,qi,100426.0,1.0
100427,100427,0.0,dinv_z,qi,100427.0,1.0
100428,100428,0.0,dinv_z,qi,100428.0,1.0
100429,100429,0.0,dinv_z,qi,100429.0,1.0
100430,100430,0.0,dinv_z,qi,100430.0,1.0
100431,100431,0.0,dinv_z,qi,100431.0,1.0
100432,100432,0.0,dinv_z,qi,100432.0,1.0
100433,100433,0.0,dinv_z,qi,100433.0,1.0
100434,100434,0.0,dinv_z,qi,100434.0,1.0
100435,100435,0.0,dinv_z,qi,100435.0,1.0
100436,100436,0.0,dinv_z,qi,100436.0,1.0
100437,100437,0.0,dinv_z,qi,100437.0,1.0
100438,100438,0.0,dinv_z,qi,100438.0,1.0
100439,100439,0.0,dinv_z,qi,100439.0,1.0
100440,100440,0.0,dinv_z,qi,100440.0,1.0
100441,100441,0.0,dinv_z,qi,100441.0,1.0
100442,100442,0.0,dinv_z,qi,100442.0,1.0
100443,100443,0.0,dinv_z,qi,100443.0,1.0
100444,100444,0.0,dinv_z,qi,100444.0,1.0
100445,100445,0.0,dinv_z,qi,100445.0,1.0
100446,100446,0.0,dinv_z,qi,100446.0,1.0
100447,100447,0.0,dinv_z,qi,100447.0,1.0
100448,100448,0.0,dinv_z,qi,100448.0,1.0
100449,100449,0.0,dinv_z,qi,100449.0,1.0
100450,100450,0.0,dinv_z,qi,100450.0,1.0
100451,100451,0.0,dinv_z,qi,100451.0,1.0
100452,100452,0.0,dinv_z,qi,100452.0,1.0
100453,100453,0.0,dinv_z,qi,100453.0,1.0
100454,100454,0.0,dinv_z,qi,100454.0,1.0
100455,100455,0.0,dinv_z,qi,100455.0,1.0
100456,100456,0.0,dinv_z,qi,100456.0,1.0
100457,100457,0.0,dinv_z,qi,100457.0,1.0
100458,100458,0.0,dinv_z,qi,100458.0,1.0
100459,100459,0.0,dinv_z,qi,100459.0,1.0
100460,100460,0.0,dinv_z,qi,100460.0,1.0
100461,100461,0.0,dinv_z,qi,100461.0,1.0
100462,100462,0.0,dinv_z,qi,100462.0,1.0
100463,100463,0.0,dinv_z,qi,100463.0,1.0
100464,100464,0.0,dinv_z,qi,100464.0,1.0
100465,100465,0.0,dinv_z,qi,100465.0,1.0
100466,100466,0.0,dinv_z,qi,100466.0,1.0
100467,100467,0.0,dinv_z,qi,100467.0,1.0
100468,100468,0.0,dinv_z,qi,100468.0,1.0
100469,100469,0.0,dinv_z,qi,100469.0,1.0
100470,100470,0.0,dinv_z,qi,100470.0,1.0
100471,100471,0.0,dinv_z,qi,100471.0,1.0
100472,100472,0.0,dinv_z,qi,100472.0,1.0
100473,100473,0.0,dinv_z,qi,100473.0,1.0
100474,100474,0.0,dinv_z,qi,100474.0,1.0
100475,100475,0.0,dinv_z,qi,100475.0,1.0
100476,100476,0.0,dinv_z,qi,100476.0,1.0
100477,100477,0.0,dinv_z,qi,100477.0,1.0
100478,100478,0.0,dinv_z,qi,100478.0,1.0
100479,100479,0.0,dinv_z,qi,100479.0,1.0
100480,100480,0.0,dinv_z,qi,100480.0,1.0
100481,100481,0.0,dinv_z,qi,100481.0,1.0
100482,100482,0.0,dinv_z,qi,100482.0,1.0
100483,100483,0.0,dinv_z,qi,100483.0,1.0
100484,100484,0.0,dinv_z,qi,100484.0,1.0
100485,100485,0.0,dinv_z,qi,100485.0,1.0
100486,100486,0.0,dinv_z,qi,100486.0,1.0
100487,100487,0.0,dinv_z,qi,100487.0,1.0
100488,100488,0.0,dinv_z,qi,100488.0,1.0
100489,100489,0.0,dinv_z,qi,100489.0,1.0
100490,100490,0.0,dinv_z,qi,100490.0,1.0
100491,100491,0.0,dinv_z,qi,100491.0,1.0
100492,100492,0.0,dinv_z,qi,100492.0,1.0
100493,100493,0.0,dinv_z,qi,100493.0,1.0
100494,100494,0.0,dinv_z,qi,100494.0,1.0
100495,100495,0.0,dinv_z,qi,100495.0,1.0
100496,100496,0.0,dinv_z,qi,100496.0,1.0
